frame_number,detection_id,tracking_id,manual_timestamp,wall_time_iso,overlay_time,overlay_date,overlay_gps,overlay_accel_g,overlay_gyro_deg_s,overlay_ok,overlay_conf,overlay_ms,class,confidence,bbox_x,bbox_y,bbox_w,bbox_h,position,distance_m
47,,,16:51:42.600,2025-09-03T00:13:37.865807,,,,,,False,0.0,446.9,,,,,,,,
48,,,16:51:42.700,2025-09-03T00:13:38.584954,,,,,,False,0.0,439.3,,,,,,,,
49,,,16:51:42.800,2025-09-03T00:13:39.299477,,,,,,False,0.0,436.6,,,,,,,,
50,,,16:51:42.900,2025-09-03T00:13:40.006767,,,,,,False,0.0,436.4,,,,,,,,
51,,,16:51:43.000,2025-09-03T00:13:40.714298,,,,,,False,0.0,450.3,,,,,,,,
52,,,16:51:43.100,2025-09-03T00:13:41.432247,,,,,,False,0.0,446.1,,,,,,,,
53,,,16:51:43.200,2025-09-03T00:13:42.152507,,,,,,False,0.0,442.2,,,,,,,,
54,,,16:51:43.300,2025-09-03T00:13:42.875401,,,,,,False,0.0,451.9,,,,,,,,
55,,,16:51:43.400,2025-09-03T00:13:43.607702,,,,,,False,0.0,443.8,,,,,,,,
56,,,16:51:43.500,2025-09-03T00:13:44.342838,,,,,,False,0.0,447.9,,,,,,,,
57,,,16:51:43.600,2025-09-03T00:13:45.063713,,,,,,False,0.0,438.9,,,,,,,,
58,,,16:51:43.700,2025-09-03T00:13:45.791931,,,,,,False,0.0,450.5,,,,,,,,
59,,,16:51:43.800,2025-09-03T00:13:46.522101,,,,,,False,0.0,442.5,,,,,,,,
60,,,16:51:43.900,2025-09-03T00:13:47.236341,,,,,,False,0.0,442.3,,,,,,,,
61,,,16:51:44.000,2025-09-03T00:13:47.957388,,,,,,False,0.0,442.1,,,,,,,,
62,,,16:51:44.100,2025-09-03T00:13:48.665668,,,,,,False,0.0,457.5,,,,,,,,
63,,,16:51:44.200,2025-09-03T00:13:49.399302,,,,,,False,0.0,446.6,,,,,,,,
64,,,16:51:44.300,2025-09-03T00:13:50.115248,,,,,,False,0.0,446.8,,,,,,,,
65,,,16:51:44.400,2025-09-03T00:13:50.831551,,,,,,False,0.0,449.0,,,,,,,,
66,,,16:51:44.500,2025-09-03T00:13:51.546862,,,,,,False,0.0,437.6,,,,,,,,
67,,,16:51:44.600,2025-09-03T00:13:52.265762,,,,,,False,0.0,441.1,,,,,,,,
68,,,16:51:44.700,2025-09-03T00:13:52.971510,,,,,,False,0.0,441.9,,,,,,,,
69,,,16:51:44.800,2025-09-03T00:13:53.684870,,,,,,False,0.0,447.7,,,,,,,,
70,,,16:51:44.900,2025-09-03T00:13:54.408386,,,,,,False,0.0,442.6,,,,,,,,
71,,,16:51:45.000,2025-09-03T00:13:55.119279,,,,,,False,0.0,453.5,,,,,,,,
72,,,16:51:45.100,2025-09-03T00:13:55.867190,,,,,,False,0.0,450.0,,,,,,,,
73,,,16:51:45.200,2025-09-03T00:13:56.593226,,,,,,False,0.0,440.8,,,,,,,,
74,,,16:51:45.300,2025-09-03T00:13:57.313725,,,,,,False,0.0,447.4,,,,,,,,
75,,,16:51:45.400,2025-09-03T00:13:58.033929,,,,,,False,0.0,441.6,,,,,,,,
76,,,16:51:45.500,2025-09-03T00:13:58.747759,,,,,,False,0.0,457.9,,,,,,,,
77,,,16:51:45.600,2025-09-03T00:13:59.480211,,,,,,False,0.0,444.0,,,,,,,,
78,,,16:51:45.700,2025-09-03T00:14:00.199481,,,,,,False,0.0,440.6,,,,,,,,
79,,,16:51:45.800,2025-09-03T00:14:00.926167,,,,,,False,0.0,442.7,,,,,,,,
80,,,16:51:45.900,2025-09-03T00:14:01.637785,,,,,,False,0.0,440.9,,,,,,,,
81,,,16:51:46.000,2025-09-03T00:14:02.349458,,,,,,False,0.0,441.7,,,,,,,,
82,,,16:51:46.100,2025-09-03T00:14:03.066892,,,,,,False,0.0,443.0,,,,,,,,
83,,,16:51:46.200,2025-09-03T00:14:03.783233,,,,,,False,0.0,441.9,,,,,,,,
84,,,16:51:46.300,2025-09-03T00:14:04.497952,,,,,,False,0.0,443.8,,,,,,,,
85,,,16:51:46.400,2025-09-03T00:14:05.206910,,,,,,False,0.0,443.6,,,,,,,,
86,1.0,3.0,16:51:46.500,2025-09-03T00:14:05.931194,,,,,,False,0.0,450.0,bus,0.79,354.0,216.0,153.0,163.0,center,53.1
87,1.0,3.0,16:51:46.600,2025-09-03T00:14:06.655946,,,,,,False,0.0,441.2,bus,0.616,359.6,218.8,151.6,156.7,center,55.2
88,1.0,3.0,16:51:46.700,2025-09-03T00:14:07.378896,,,,,,False,0.0,441.9,truck,0.571,367.6,219.6,155.4,156.2,center,60.6
89,1.0,3.0,16:51:46.800,2025-09-03T00:14:08.091060,,,,,,False,0.0,441.4,truck,0.567,372.8,217.1,155.1,158.9,center,59.6
90,1.0,3.0,16:51:46.900,2025-09-03T00:14:08.813172,,,,,,False,0.0,444.0,truck,0.58,378.5,216.3,157.1,161.1,center,58.8
91,1.0,3.0,16:51:47.000,2025-09-03T00:14:09.528683,,,,,,False,0.0,450.6,truck,0.551,385.9,217.5,154.9,164.5,center,57.5
92,1.0,3.0,16:51:47.100,2025-09-03T00:14:10.267348,,,,,,False,0.0,438.5,truck,0.608,388.8,213.6,160.6,164.9,center,57.4
93,1.0,3.0,16:51:47.200,2025-09-03T00:14:10.995749,,,,,,False,0.0,457.6,truck,0.649,390.3,211.1,163.0,165.7,center,57.1
94,1.0,3.0,16:51:47.300,2025-09-03T00:14:11.730088,,,,,,False,0.0,453.1,truck,0.678,393.6,211.0,165.1,173.6,center,54.5
95,1.0,3.0,16:51:47.400,2025-09-03T00:14:12.463524,,,,,,False,0.0,446.7,truck,0.671,396.0,210.3,168.5,176.0,center,53.8
95,2.0,3.0,16:51:47.400,2025-09-03T00:14:12.463524,,,,,,False,0.0,446.7,bus,0.62,396.7,209.4,168.9,177.4,center,48.8
96,1.0,3.0,16:51:47.500,2025-09-03T00:14:13.190823,,,,,,False,0.0,440.4,truck,0.625,403.9,207.0,166.9,180.6,center,52.4
97,1.0,3.0,16:51:47.600,2025-09-03T00:14:13.907742,,,,,,False,0.0,442.8,truck,0.635,410.3,209.1,164.2,183.0,center,51.7
98,1.0,3.0,16:51:47.700,2025-09-03T00:14:14.628367,,,,,,False,0.0,438.1,truck,0.646,417.8,195.0,158.4,182.3,center,51.9
99,1.0,3.0,16:51:47.800,2025-09-03T00:14:15.333858,,,,,,False,0.0,443.4,truck,0.663,419.3,205.5,162.3,183.5,center,51.6
99,2.0,3.0,16:51:47.800,2025-09-03T00:14:15.333858,,,,,,False,0.0,443.4,bus,0.647,419.1,207.3,164.9,184.5,center,46.9
100,1.0,3.0,16:51:47.900,2025-09-03T00:14:16.052805,,,,,,False,0.0,447.2,bus,0.616,421.8,207.1,161.5,185.6,center,46.6
100,2.0,3.0,16:51:47.900,2025-09-03T00:14:16.052805,,,,,,False,0.0,447.2,truck,0.568,421.2,204.9,161.1,187.3,center,50.5
